"CODE"	"lfd"	"trial"	"Upn"	"treat"	"ansshort"	"anslong"	"subjsicher"	"lfd"	"trial"	"Upn"	"solution"	"differ"
"175"	"IL39"	175	15	9	"C"	1	"Herz"	25	175	15	9	"Pik"	"FALSCH"
"176"	"IL39"	176	16	9	"C"	4	"Pik"	25	176	16	9	"Kreuz"	"FALSCH"
"177"	"IL39"	177	17	9	"C"	4	"Pik"	25	177	17	9	"Pik"	"WAHR"
"178"	"IL39"	178	18	9	"C"	1	"Herz"	25	178	18	9	"Herz"	"WAHR"
"179"	"IL39"	179	19	9	"C"	1	"Herz"	25	179	19	9	"Karo"	"FALSCH"
"180"	"IL39"	180	20	9	"C"	2	"Karo"	25	180	20	9	"Pik"	"FALSCH"
"181"	"BL611"	181	1	10	"C"	1	"Herz"	20	181	1	10	"Pik"	"FALSCH"
"182"	"BL611"	182	2	10	"C"	4	"Pik"	20	182	2	10	"Pik"	"WAHR"
"183"	"BL611"	183	3	10	"C"	3	"Kreuz"	35	183	3	10	"Herz"	"FALSCH"
"184"	"BL611"	184	4	10	"C"	2	"Karo"	20	184	4	10	"Karo"	"WAHR"
"185"	"BL611"	185	5	10	"C"	1	"Herz"	40	185	5	10	"Kreuz"	"FALSCH"
"186"	"BL611"	186	6	10	"C"	3	"Kreuz"	20	186	6	10	"Karo"	"FALSCH"
"187"	"BL611"	187	7	10	"C"	4	"Pik"	30	187	7	10	"Kreuz"	"FALSCH"
"188"	"BL611"	188	8	10	"C"	4	"Pik"	30	188	8	10	"Herz"	"FALSCH"
"189"	"BL611"	189	9	10	"C"	1	"Herz"	20	189	9	10	"Pik"	"FALSCH"
"190"	"BL611"	190	10	10	"C"	1	"Herz"	20	190	10	10	"Herz"	"WAHR"
"191"	"BL611"	191	11	10	"C"	2	"Karo"	30	191	11	10	"Herz"	"FALSCH"
"192"	"BL611"	192	12	10	"C"	1	"Herz"	20	192	12	10	"Kreuz"	"FALSCH"
"193"	"BL611"	193	13	10	"C"	4	"Pik"	20	193	13	10	"Karo"	"FALSCH"
"194"	"BL611"	194	14	10	"C"	4	"Pik"	20	194	14	10	"Kreuz"	"FALSCH"
"195"	"BL611"	195	15	10	"C"	2	"Karo"	20	195	15	10	"Kreuz"	"FALSCH"
"196"	"BL611"	196	16	10	"C"	3	"Kreuz"	20	196	16	10	"Kreuz"	"WAHR"
"197"	"BL611"	197	17	10	"C"	4	"Pik"	30	197	17	10	"Kreuz"	"FALSCH"
"198"	"BL611"	198	18	10	"C"	3	"Kreuz"	20	198	18	10	"Herz"	"FALSCH"
"199"	"BL611"	199	19	10	"C"	1	"Herz"	20	199	19	10	"Kreuz"	"FALSCH"
"200"	"BL611"	200	20	10	"C"	4	"Pik"	20	200	20	10	"Herz"	"FALSCH"
"201"	"HE46"	201	1	11	"T"	3	"Kreuz"	50	201	1	11	"Herz"	"FALSCH"
"202"	"HE46"	202	2	11	"T"	2	"Karo"	60	202	2	11	"Herz"	"FALSCH"
"203"	"HE46"	203	3	11	"T"	1	"Herz"	70	203	3	11	"Pik"	"FALSCH"
"204"	"HE46"	204	4	11	"T"	1	"Herz"	50	204	4	11	"Kreuz"	"FALSCH"
"205"	"HE46"	205	5	11	"T"	4	"Pik"	20	205	5	11	"Herz"	"FALSCH"
"206"	"HE46"	206	6	11	"T"	1	"Herz"	30	206	6	11	"Herz"	"WAHR"
"207"	"HE46"	207	7	11	"T"	2	"Karo"	40	207	7	11	"Pik"	"FALSCH"
"208"	"HE46"	208	8	11	"T"	2	"Karo"	70	208	8	11	"Pik"	"FALSCH"
"209"	"HE46"	209	9	11	"T"	3	"Kreuz"	10	209	9	11	"Karo"	"FALSCH"
"210"	"HE46"	210	10	11	"T"	2	"Karo"	20	210	10	11	"Kreuz"	"FALSCH"
"211"	"HE46"	211	11	11	"T"	4	"Pik"	70	211	11	11	"Herz"	"FALSCH"
"212"	"HE46"	212	12	11	"T"	2	"Karo"	50	212	12	11	"Pik"	"FALSCH"
"213"	"HE46"	213	13	11	"T"	1	"Herz"	50	213	13	11	"Karo"	"FALSCH"
"214"	"HE46"	214	14	11	"T"	3	"Kreuz"	80	214	14	11	"Kreuz"	"WAHR"
"215"	"HE46"	215	15	11	"T"	2	"Karo"	70	215	15	11	"Herz"	"FALSCH"
"216"	"HE46"	216	16	11	"T"	1	"Herz"	30	216	16	11	"Kreuz"	"FALSCH"
"217"	"HE46"	217	17	11	"T"	4	"Pik"	80	217	17	11	"Herz"	"FALSCH"
"218"	"HE46"	218	18	11	"T"	3	"Kreuz"	70	218	18	11	"Herz"	"FALSCH"
"219"	"HE46"	219	19	11	"T"	2	"Karo"	70	219	19	11	"Pik"	"FALSCH"
"220"	"HE46"	220	20	11	"T"	1	"Herz"	30	220	20	11	"Kreuz"	"FALSCH"
"221"	"II13"	221	1	12	"T"	3	"Kreuz"	20	221	1	12	"Pik"	"FALSCH"
"222"	"II13"	222	2	12	"T"	1	"Herz"	20	222	2	12	"Karo"	"FALSCH"
"223"	"II13"	223	3	12	"T"	2	"Karo"	30	223	3	12	"Pik"	"FALSCH"
"224"	"II13"	224	4	12	"T"	3	"Kreuz"	20	224	4	12	"Pik"	"FALSCH"
"225"	"II13"	225	5	12	"T"	1	"Herz"	40	225	5	12	"Karo"	"FALSCH"
"226"	"II13"	226	6	12	"T"	4	"Pik"	50	226	6	12	"Pik"	"WAHR"
"227"	"II13"	227	7	12	"T"	2	"Karo"	20	227	7	12	"Kreuz"	"FALSCH"
"228"	"II13"	228	8	12	"T"	1	"Herz"	40	228	8	12	"Pik"	"FALSCH"
"229"	"II13"	229	9	12	"T"	4	"Pik"	20	229	9	12	"Herz"	"FALSCH"
"230"	"II13"	230	10	12	"T"	2	"Karo"	20	230	10	12	"Pik"	"FALSCH"
"231"	"II13"	231	11	12	"T"	3	"Kreuz"	40	231	11	12	"Kreuz"	"WAHR"
"232"	"II13"	232	12	12	"T"	1	"Herz"	20	232	12	12	"Herz"	"WAHR"
"233"	"II13"	233	13	12	"T"	4	"Pik"	30	233	13	12	"Karo"	"FALSCH"
"234"	"II13"	234	14	12	"T"	1	"Herz"	40	234	14	12	"Kreuz"	"FALSCH"
"235"	"II13"	235	15	12	"T"	2	"Karo"	20	235	15	12	"Herz"	"FALSCH"
"236"	"II13"	236	16	12	"T"	4	"Pik"	20	236	16	12	"Karo"	"FALSCH"
"237"	"II13"	237	17	12	"T"	2	"Karo"	30	237	17	12	"Herz"	"FALSCH"
"238"	"II13"	238	18	12	"T"	3	"Kreuz"	20	238	18	12	"Pik"	"FALSCH"
"239"	"II13"	239	19	12	"T"	1	"Herz"	20	239	19	12	"Pik"	"FALSCH"
"240"	"II13"	240	20	12	"T"	4	"Pik"	20	240	20	12	"Kreuz"	"FALSCH"
"241"	"DL731"	241	1	13	"T"	1	"Herz"	70	241	1	13	"Pik"	"FALSCH"
"242"	"DL731"	242	2	13	"T"	4	"Pik"	30	242	2	13	"Karo"	"FALSCH"
"243"	"DL731"	243	3	13	"T"	1	"Herz"	50	243	3	13	"Karo"	"FALSCH"
"244"	"DL731"	244	4	13	"T"	3	"Kreuz"	10	244	4	13	"Herz"	"FALSCH"
"245"	"DL731"	245	5	13	"T"	2	"Karo"	90	245	5	13	"Kreuz"	"FALSCH"
"246"	"DL731"	246	6	13	"T"	1	"Herz"	20	246	6	13	"Pik"	"FALSCH"
"247"	"DL731"	247	7	13	"T"	4	"Pik"	80	247	7	13	"Kreuz"	"FALSCH"
"248"	"DL731"	248	8	13	"T"	3	"Kreuz"	10	248	8	13	"Herz"	"FALSCH"
"249"	"DL731"	249	9	13	"T"	2	"Karo"	30	249	9	13	"Kreuz"	"FALSCH"
