"ID"	"W.noSC"	"uW.noSC"	"cc.noSC"	"age"	"sex"	"class"	"schoolt"	"schooltype"	"W.wSC"	"uW.wSC"	"cc.wSC"	"Schultyp"	"school"	"stype"
"142"	142	225	120	1	14	"w"	9	"1"	"R"	206	119	NA	"1"	"Realschule"	"R"
"143"	143	214	124	1.05	15	"w"	9	"1"	"R"	198	123	NA	"1"	"Realschule"	"R"
"144"	144	140	75	1.61	14	"w"	9	"1"	"R"	120	74	NA	"1"	"Realschule"	"R"
"145"	145	112	66	2.01	15	"m"	9	"1"	"R"	93	65	NA	"1"	"Realschule"	"R"
"146"	146	172	99	1.31	15	"w"	9	"1"	"R"	155	98	NA	"1"	"Realschule"	"R"
"147"	147	248	137	0.91	15	"w"	9	"1"	"R"	227	136	NA	"1"	"Realschule"	"R"
"148"	148	75	47	3	14	"m"	9	"1"	"R"	63	46	NA	"1"	"Realschule"	"R"
"149"	149	140	88	1.61	15	"m"	9	"1"	"R"	119	87	NA	"1"	"Realschule"	"R"
"150"	150	228	142	0.99	16	"m"	9	"1"	"R"	203	141	NA	"1"	"Realschule"	"R"
"151"	151	295	148	0.76	15	"w"	9	"1"	"R"	276	147	NA	"1"	"Realschule"	"R"
"152"	152	139	74	1.62	14	"w"	9	"1"	"R"	124	73	NA	"1"	"Realschule"	"R"
"153"	153	277	133	0.81	14	"w"	9	"1"	"R"	255	132	NA	"1"	"Realschule"	"R"
"154"	154	320	149	0.7	15	"w"	9	"1"	"R"	298	148	NA	"1"	"Realschule"	"R"
"155"	155	202	108	1.11	15	"w"	9	"1"	"R"	184	107	NA	"1"	"Realschule"	"R"
"156"	156	151	90	1.49	15	"w"	9	"1"	"R"	132	89	NA	"1"	"Realschule"	"R"
"157"	157	388	181	0.58	14	"w"	9	"1"	"R"	364	180	NA	"1"	"Realschule"	"R"
"158"	158	336	140	0.67	14	"w"	9	"1"	"R"	315	139	NA	"1"	"Realschule"	"R"
"159"	159	358	176	0.63	14	"w"	9	"1"	"R"	336	175	NA	"1"	"Realschule"	"R"
"160"	160	247	150	0.91	17	"w"	9	"1"	"R"	226	149	NA	"1"	"Realschule"	"R"
"161"	161	199	120	1.13	15	"m"	9	"1"	"R"	180	119	NA	"1"	"Realschule"	"R"
"162"	162	271	148	0.83	15	"m"	9	"1"	"R"	250	147	NA	"1"	"Realschule"	"R"
"163"	163	164	96	1.37	16	"m"	9	"1"	"R"	148	95	NA	"1"	"Realschule"	"R"
"164"	164	129	82	1.75	15	"m"	9	"1"	"R"	105	81	NA	"1"	"Realschule"	"R"
"165"	165	265	149	0.85	16	"w"	9	"1"	"R"	242	148	NA	"1"	"Realschule"	"R"
"166"	166	114	81	1.98	15	"m"	9	"1"	"R"	100	80	NA	"1"	"Realschule"	"R"
"167"	167	101	68	2.23	14	"m"	9	"1"	"R"	89	67	NA	"1"	"Realschule"	"R"
"168"	168	77	52	2.92	15	"m"	9	"1"	"R"	68	51	NA	"1"	"Realschule"	"R"
"169"	169	513	242	0.44	16	"w"	9	"1"	"R"	481	241	NA	"1"	"Realschule"	"R"
"170"	170	163	99	1.38	15	"m"	9	"1"	"R"	140	98	NA	"1"	"Realschule"	"R"
"171"	171	143	83	1.57	16	"m"	10	"1"	"R"	124	80	NA	"1"	"Realschule"	"R"
"172"	172	566	239	0.4	15	"w"	10	"1"	"R"	523	238	NA	"1"	"Realschule"	"R"
"173"	173	68	43	3.31	16	"m"	10	"1"	"R"	57	42	NA	"1"	"Realschule"	"R"
"174"	174	154	88	1.46	15	"m"	10	"1"	"R"	143	87	NA	"1"	"Realschule"	"R"
